Rank,State or Territory,Per capita income (2019) ACS,Per capita income (2020) BEA,Of which diposable personal income (2020),Median household income (2019),Median family income (2019),Population (April 2020),Number of Households (2019),Number of families (2019)
33 ,Montana,"$32,625 ","$53,361 ","$48,127 ","$57,153 ","$73,014 ","1,084,225 ","437,651 ","269,009 "
34 ,Texas,"$32,267 ","$55,129 ","$50,523 ","$64,034 ","$76,727 ","29,145,505 ","9,985,126 ","6,857,641 "
35 ,Arizona,"$32,173 ","$49,648 ","$45,025 ","$62,055 ","$74,468 ","7,151,502 ","2,670,441 ","1,740,704 "
36 ,North Carolina,"$32,021 ","$50,305 ","$45,060 ","$57,341 ","$72,049 ","10,439,388 ","4,046,348 ","2,630,365 "
37 ,Utah,"$31,771 ","$52,204 ","$46,931 ","$75,780 ","$86,152 ","3,271,616 ","1,023,855 ","760,968 "
38 ,Missouri,"$31,756 ","$51,697 ","$46,598 ","$57,409 ","$73,457 ","6,154,913 ","2,458,337 ","1,546,045 "
39 ,South Dakota,"$31,550 ","$59,281 ","$54,984 ","$59,533 ","$76,826 ","886,667 ","353,799 ","223,964 "
40 ,South Carolina,"$31,295 ","$48,021 ","$43,471 ","$56,227 ","$70,537 ","5,118,425 ","1,975,915 ","1,286,326 "
41 ,Tennessee,"$31,224 ","$51,046 ","$47,192 ","$56,071 ","$69,993 ","6,910,840 ","2,654,737 ","1,727,895 "
42 ,Indiana,"$30,988 ","$51,926 ","$46,872 ","$57,603 ","$73,876 ","6,785,528 ","2,597,765 ","1,639,230 "
43 ,Oklahoma,"$29,666 ","$49,878 ","$45,727 ","$54,449 ","$68,358 ","3,959,353 ","1,495,151 ","975,754 "
44 ,Idaho,"$29,606 ","$48,759 ","$44,138 ","$60,999 ","$72,365 ","1,839,106 ","655,859 ","448,979 "
45 ,Kentucky,"$29,029 ","$47,339 ","$42,720 ","$52,295 ","$66,183 ","4,505,836 ","1,748,732 ","1,129,276 "
46 ,Louisiana,"$28,662 ","$50,874 ","$46,771 ","$51,073 ","$65,105 ","4,657,757 ","1,741,076 ","1,113,831 "
47 ,Alabama,"$28,650 ","$46,479 ","$42,392 ","$51,734 ","$66,171 ","5,024,279 ","1,897,576 ","1,237,883 "
48 ,New Mexico,"$28,423 ","$46,338 ","$42,803 ","$51,945 ","$61,826 ","2,117,522 ","793,420 ","496,961 "
49 ,West Virginia,"$27,446 ","$44,994 ","$41,251 ","$48,850 ","$60,920 ","1,793,716 ","728,175 ","470,472 "
50 ,Arkansas,"$27,274 ","$47,235 ","$43,083 ","$48,952 ","$62,387 ","3,011,524 ","1,163,647 ","755,305 "
51 ,Mississippi,"$25,301 ","$42,129 ","$39,083 ","$45,792 ","$58,503 ","2,961,279 ","1,100,229 ","718,382 "
52[note 3] ,US Virgin Islands,"$21,362 ",N/A ,N/A ,"$37,254 ","$45,058 ","87,146 ","43,214 ","26,237 "
53[note 3] ,Guam,"$16,549 ",N/A ,N/A ,"$48,274 ","$50,607 ","153,836 ","42,026 ","34,199 "
54 ,Puerto Rico,"$13,345 ",N/A ,N/A ,"$20,474 ","$25,388 ","3,195,153 ","1,170,982 ","773,798 "
55[note 3] ,Northern Mariana Islands,"$9,656 ",N/A ,N/A ,"$19,958 ","$22,455 ","47,329 ","16,035 ","10,714 "
56[note 3] ,American Samoa,"$6,311 ",N/A ,N/A ,"$23,892 ","$24,706 ","49,710 ","9,688 ","8,834 "
